Pose Number,EEx err,EEy err,EEz err,Abs err
30,[ 1.43099883],[ 1.70813567],[ 1.54951926],2.7141287848844726
31,[ 1.31116202],[ 1.76383627],[ 1.55110771],2.690018463952164
32,[ 1.19456979],[ 1.82661542],[ 1.54814047],2.6758661784758626
33,[ 1.08099417],[ 1.89456818],[ 1.53964094],2.6699122102199904
34,[ 0.84686656],[ 2.06113758],[ 1.49462522],2.6831652311057019
35,[ 0.63679962],[ 2.24245477],[ 1.40910966],2.7239139483466732
36,[ 0.44256945],[ 2.41948059],[ 1.28986857],2.7773215497123784
37,[ 0.2473991],[ 2.56533383],[ 1.15287116],2.8233412607953818
38,[ 0.03830384],[ 2.66067212],[ 1.00707444],2.845143626256478
39,[-0.18972599],[ 2.68866083],[ 0.86138011],2.8296410884868841
40,[-0.43930394],[ 2.64104163],[ 0.72105061],2.7727248046117929
41,[-0.70965692],[ 2.51520874],[ 0.59056741],2.6793017368476497
42,[-0.84795157],[ 2.42614635],[ 0.53169333],2.624482001574183
43,[-0.98961952],[ 2.31985094],[ 0.47647197],2.5667256774693934
44,[-1.13383236],[ 2.19734937],[ 0.42523322],2.5089327170706825
45,[-1.27963953],[ 2.05990448],[ 0.37824491],2.4543335093631544
46,[-1.34907775],[ 1.98988249],[ 0.35748366],2.4305221000768729
47,[-1.41851902],[ 1.91699668],[ 0.33774049],2.4085558193768901
48,[-1.48783997],[ 1.84142695],[ 0.31902648],2.3887860719789957
49,[-1.55691404],[ 1.76336052],[ 0.30134853],2.3715464579995946
50,[-1.5756598],[ 1.74170063],[ 0.29670874],2.3673320380736453
51,[-1.59437503],[ 1.71987403],[ 0.29214601],2.363334024861631
52,[-1.61305707],[ 1.69788474],[ 0.28766031],2.3595580473040654
53,[-1.63170327],[ 1.67573681],[ 0.28325161],2.3560095283028728
54,[-1.65031096],[ 1.6534343],[ 0.2789198],2.3526936736972637
55,[-1.66887747],[ 1.63098131],[ 0.2746648],2.3496154615133795
56,[-1.68740012],[ 1.60838197],[ 0.27048648],2.346779631534015
57,[-1.70587621],[ 1.5856404],[ 0.26638468],2.3441906752347017
1,[ 2.04290886],[ 0.00017713],[ 1.30119987],2.4221060540650599
2,[ 2.0589982],[-0.04965355],[ 1.3004535],2.4357993268958333
3,[ 2.07380617],[-0.10026173],[ 1.29943833],2.4493395861878131
4,[ 2.09861768],[-0.19560267],[ 1.29578891],2.4741716711460624
5,[ 2.11928822],[-0.29373604],[ 1.29021288],2.4984620674881803
6,[ 2.13571918],[-0.39025193],[ 1.28199983],2.5213322962337035
7,[ 2.14825751],[-0.48910806],[ 1.2708636],2.5434880200243604
8,[ 2.15671178],[-0.58998921],[ 1.25637143],2.5647538167663515
9,[ 2.16084222],[-0.69245039],[ 1.23818247],2.5849221383942074
10,[ 2.16066401],[-0.80416442],[ 1.21360696],2.6053773737044055
11,[ 2.15478579],[-0.91614913],[ 1.18416214],2.6238656611816067
12,[ 2.14278354],[-1.02737925],[ 1.14981567],2.6399063456979732
13,[ 2.12423587],[-1.13671309],[ 1.11066963],2.6529383136634053
14,[ 2.08812287],[-1.28456504],[ 1.04557566],2.6652566347548543
15,[ 2.03742283],[-1.42180287],[ 0.97210265],2.6678828212445462
16,[ 1.99039741],[-1.52333232],[ 0.88835235],2.6592091142159289
17,[ 1.93160815],[-1.60561162],[ 0.80039608],2.6362345452969791
18,[ 1.89835029],[-1.63503549],[ 0.7365625],2.6114362320349085
19,[ 1.86117381],[-1.65274153],[ 0.67361164],2.5786188472205445
20,[ 1.77652723],[-1.65259109],[ 0.55506597],2.4890167823286005
21,[ 1.78424773],[-1.51299941],[ 0.45841736],2.3838736689660109
22,[ 1.79393686],[-1.34616323],[ 0.40647351],2.2793827279871781
23,[ 2.01081607],[-1.04443879],[ 0.44811897],2.3097714745461118
24,[ 2.22441649],[-0.78200302],[ 0.53519951],2.4178494525498899
25,[ 2.44708988],[-0.57273902],[ 0.62963326],2.5908911453938757
26,[ 2.65356084],[-0.40335324],[ 0.71287828],2.7770982039711405
27,[ 2.72911862],[-0.34673246],[ 0.73832698],2.8484098286219797
28,[ 2.80044668],[-0.29559916],[ 0.75887351],2.9164652340414721
29,[ 2.81517734],[-0.283493],[ 0.76246729],2.9303494884354491
30,[ 2.82947016],[-0.27159544],[ 0.76585197],2.9438401277274853
31,[ 2.85668546],[-0.24492125],[ 0.77200238],2.969280365962649
32,[ 2.88118703],[-0.21909717],[ 0.77738748],2.9922522568503691
33,[ 2.90292185],[-0.19415004],[ 0.78200538],3.0126702326585679
34,[ 2.9218395],[-0.17010583],[ 0.78585611],3.0304540698442648
35,[ 2.96169461],[-0.1022853],[ 0.79281271],3.0676781550374486
36,[ 2.97350728],[-0.04381705],[ 0.79280114],3.0776938010654562
37,[ 2.95643171],[ 0.00470876],[ 0.78614801],3.0591729846730424
38,[ 2.91000415],[ 0.04279291],[ 0.77332929],3.0113109420258239
1,[ 2.91029819],[ 0.0427385],[ 0.77333878],3.0115967502745162
2,[ 2.91540951],[-0.01675091],[ 0.78405489],3.0190454244718237
3,[ 2.90734786],[-0.08303876],[ 0.79436714],3.0150598954581227
4,[ 2.88625273],[-0.15566595],[ 0.80443524],3.0003004487293028
5,[ 2.85233904],[-0.23412243],[ 0.81441814],2.9755551156953026
6,[ 2.84235067],[-0.25457857],[ 0.81206814],2.9670224514978503
7,[ 2.83218324],[-0.27527897],[ 0.80964893],2.9584745744598497
8,[ 2.79336398],[-0.35411151],[ 0.79876182],2.9268238320275843
9,[ 2.7529442],[-0.43554572],[ 0.78848652],2.8965691513960454
10,[ 2.64735818],[-0.64332941],[ 0.77387832],2.8321839138774396
11,[ 2.5305916],[-0.85302691],[ 0.7904157],2.7850144982384966
12,[ 2.47050049],[-0.95411191],[ 0.81785725],2.7717490326466994
13,[ 2.40586615],[-1.04659738],[ 0.86076342],2.761244584400576
14,[ 2.2441195],[-1.20813591],[ 0.96445116],2.7250377469777529
15,[ 2.15939729],[-1.21071579],[ 1.03741015],2.6842222722714904
16,[ 2.05315517],[-1.162047],[ 1.10416301],2.6047985251008177
17,[ 2.0908062],[-0.89253323],[ 1.11778508],2.5332843564665732
18,[ 2.1040165],[-0.59668608],[ 1.1123175],2.4536034609752151
19,[ 2.17421824],[-0.32568242],[ 1.08654718],2.4523211042658235
20,[ 2.21546814],[-0.05934159],[ 1.05670868],2.4552909669347738
21,[ 2.22669008],[ 0.20012664],[ 1.02444285],2.4592036410020053
22,[ 2.20685314],[ 0.45128071],[ 0.99148304],2.461075717772887
23,[ 2.15680903],[ 0.73091988],[ 0.95218895],2.468346177563741
24,[ 2.04269458],[ 0.99670937],[ 0.91270202],2.4492969827153961
25,[ 1.86428771],[ 1.24732725],[ 0.87402507],2.4073457925516863
26,[ 1.63098305],[ 1.48726625],[ 0.82640215],2.3569062590345506
27,[ 1.35238143],[ 1.69436172],[ 0.74388822],2.2919788065440443
28,[ 1.00993096],[ 1.86449567],[ 0.66237222],2.2214953500741323
29,[ 0.61237707],[ 1.98551755],[ 0.58548279],2.1587208551234371
30,[ 0.17309669],[ 2.04909063],[ 0.51518484],2.1199411113442368
31,[-0.14290565],[ 2.04021321],[ 0.46199175],2.0967423202541973
32,[-0.46626873],[ 2.00052626],[ 0.4130514],2.0952621140935044
33,[-0.79050261],[ 1.93188756],[ 0.36888155],2.1197069451479167
34,[-1.70562024],[ 1.58589389],[ 0.26659079],2.3441993266631784
1,[ 2.04304201],[ -3.03666446e-05],[ 1.30112259],2.4221768414841622
2,[ 2.04517127],[-0.00412193],[ 1.29927879],2.4229873839271492
3,[ 2.04728179],[-0.00825339],[ 1.29743276],2.423790962544091
4,[ 2.05256367],[-0.01893747],[ 1.29274279],2.4258112429097438
5,[ 2.05772664],[-0.02988192],[ 1.28808276],2.4278156964542608
6,[ 2.0687377],[-0.05502428],[ 1.27802952],2.4322957872968618
7,[ 2.0791849],[-0.08138827],[ 1.26859501],2.436999627874938
8,[ 2.09169055],[-0.11658396],[ 1.25791834],2.4435874689478103
9,[ 2.10329942],[-0.15326837],[ 1.24918296],2.4510850086289722
10,[ 2.1180992],[-0.20649074],[ 1.24075727],2.4634247030988727
11,[ 2.1310938],[-0.26021131],[ 1.23702958],2.4778040429822346
12,[ 2.14224471],[-0.31267386],[ 1.23751321],2.4936752605969295
13,[ 2.15150109],[-0.362107],[ 1.24101909],2.5100212799893766
14,[ 2.15983302],[-0.4140588],[ 1.24656248],2.527892678719081
15,[ 2.16528505],[-0.45790833],[ 1.25027816],2.5419155875598882
16,[ 2.16735807],[-0.4853341],[ 1.24952393],2.5483916984703234
17,[ 2.16753884],[-0.50799462],[ 1.24389095],2.5502054518886004
18,[ 2.16712028],[-0.51520174],[ 1.24034647],2.5495690863916085
19,[ 2.16644035],[-0.52194014],[ 1.23590876],2.548206380869495
20,[ 2.16594423],[-0.52554196],[ 1.23300815],2.547119522810799
21,[ 2.16536595],[-0.52903017],[ 1.22980224],2.5457997165160915
22,[ 2.16352082],[-0.53751531],[ 1.22019124],2.541379882162889
23,[ 2.16115426],[-0.54561005],[ 1.20845774],2.5354778983518131
24,[ 2.15731498],[-0.55605885],[ 1.18989181],2.5256785043476873
25,[ 2.15267583],[-0.56703872],[ 1.16764471],2.5137502456226533
26,[ 2.14868281],[-0.57614798],[ 1.14847973],2.5035554697491
27,[ 2.14430797],[-0.58633012],[ 1.12741565],2.4925701046075068
28,[ 2.13958671],[-0.59792485],[ 1.10462107],2.481034685696371
29,[ 2.13455312],[-0.61126527],[ 1.08031174],2.4692176294504575
30,[ 2.12511805],[-0.63958591],[ 1.03516357],2.4488283900483996
31,[ 2.11493517],[-0.67561939],[ 0.98786607],2.4300806036358376
32,[ 2.10404025],[-0.72050265],[ 0.9403468],2.414614166366241
33,[ 2.09237805],[-0.77489468],[ 0.8946871],2.4039493929858495
1,[ 2.09213326],[-0.77529949],[ 0.89445011],2.4037786620009145
2,[ 2.09203337],[-0.76946438],[ 0.899557],2.4037224989216623
3,[ 2.09173933],[-0.76248379],[ 0.90632289],2.4037837146008609
4,[ 2.09084051],[-0.74823045],[ 0.9207318],2.4039987313923898
5,[ 2.08908074],[-0.73025547],[ 0.93899974],2.4040074690933366
6,[ 2.08343536],[-0.68821174],[ 0.97939782],2.4028230067747374
7,[ 2.07367256],[-0.6328243],[ 1.02735004],2.3991733142355298
8,[ 2.0555076],[-0.54783677],[ 1.09084908],2.390646008767388
9,[ 2.03012826],[-0.44613024],[ 1.15376428],2.3773146501280427
10,[ 2.00694142],[-0.36189052],[ 1.19511181],2.363698553301683
11,[ 1.97896482],[-0.27405659],[ 1.21792104],2.3398163241912049
12,[ 1.94879295],[-0.18264544],[ 1.22906938],2.3112258374887231
13,[ 1.91774249],[-0.08899068],[ 1.23167182],2.2809364442323932
14,[ 1.90156672],[-0.03456557],[ 1.22894362],2.2643880383130592
15,[ 1.88546084],[ 0.01972448],[ 1.22366914],2.2478251295983647
16,[ 1.89044597],[ 0.1251519],[ 1.20310356],2.2443054918153207
17,[ 1.89318707],[ 0.22876946],[ 1.17934653],2.2421755060677362
18,[ 1.92148786],[ 0.42758071],[ 1.12687127],2.2682106848200663
19,[ 1.93141453],[ 0.61618323],[ 1.0720851],2.2933404348640214
20,[ 1.92158415],[ 0.83428331],[ 1.00425418],2.3231531913043737
21,[ 1.87869598],[ 1.03073013],[ 0.93633597],2.3385098341747117
22,[ 1.8620974],[ 1.07974193],[ 0.92055607],2.3410836845590257
23,[ 1.84253067],[ 1.12689549],[ 0.90517085],2.3418255667940486
24,[ 1.79640824],[ 1.21144523],[ 0.88388291],2.3400707448727465
25,[ 1.73708345],[ 1.28885178],[ 0.86545826],2.3297244070932761
26,[ 1.57939043],[ 1.41997257],[ 0.84565559],2.2860292163244078
27,[ 1.36930479],[ 1.5276422],[ 0.83351695],2.2143705189517213
28,[ 1.03751368],[ 1.63410107],[ 0.82311523],2.1033876545898935
29,[ 0.63851677],[ 1.71440983],[ 0.80491648],1.9986983965991527
30,[ 0.33052748],[ 1.75894882],[ 0.79788165],1.9595317023648027
31,[-0.00203454],[ 1.79427895],[ 0.76454792],1.9503780676968958
32,[-0.30166293],[ 1.81230243],[ 0.71377178],1.9710176994546618
33,[-0.60720426],[ 1.81366698],[ 0.64381728],2.018064819370597
34,[-0.81395239],[ 1.80257041],[ 0.58684831],2.0630485977532271
35,[-1.01847912],[ 1.78006531],[ 0.52368945],2.1166442489635267
36,[-1.17144333],[ 1.75443163],[ 0.47220085],2.161777843596056
37,[-1.32129046],[ 1.72099761],[ 0.41878246],2.2097556420041822
38,[-1.37873175],[ 1.70544386],[ 0.39705471],2.2286974782378999
39,[-1.43554601],[ 1.68857896],[ 0.37519227],2.2478568618936561
40,[-1.49169692],[ 1.67039251],[ 0.35325219],2.2671916429812566
41,[-1.54715008],[ 1.6508781],[ 0.33129177],2.2866626554108755
42,[-1.58742392],[ 1.63567306],[ 0.31515383],2.3010134757721232
43,[-1.62729099],[ 1.61974803],[ 0.29905852],2.315403988752319
44,[-1.66673958],[ 1.60310468],[ 0.28302864],2.3298220215625576
45,[-1.70575857],[ 1.58574592],[ 0.26708692],2.3442563477654388
1,[ 2.04302874],[ -1.23106808e-06],[ 1.3010897],2.4221479794649916
2,[ 2.03496247],[ 0.00439282],[ 1.31369838],2.4221674136485838
3,[ 2.02656002],[ 0.00895541],[ 1.32620396],2.4219501733039595
4,[ 1.99787741],[ 0.02523362],[ 1.36502036],2.4197998799974836
5,[ 1.96586218],[ 0.04302722],[ 1.40226495],2.4151216188191094
6,[ 1.92374598],[ 0.06599022],[ 1.44376528],2.4061611468818924
7,[ 1.87712821],[ 0.09029551],[ 1.48192166],2.393293838758908
8,[ 1.82617528],[ 0.11546259],[ 1.51635335],2.3764627582679569
9,[ 1.77110393],[ 0.14101093],[ 1.54688214],2.3557456453865901
10,[ 1.71124229],[ 0.16696706],[ 1.5739021],2.330964604003666
11,[ 1.64771258],[ 0.19239063],[ 1.59720319],2.3028306375229843
12,[ 1.58084571],[ 0.21688501],[ 1.61729054],2.2719465123066178
13,[ 1.51098629],[ 0.24012315],[ 1.63486301],2.2390881489114824
14,[ 1.44414722],[ 0.26047086],[ 1.64948646],2.2077617251705344
15,[ 1.37536183],[ 0.27941834],[ 1.6634274],2.1763927747280989
16,[ 1.33382355],[ 0.29867545],[ 1.66845222],2.1568553739246061
17,[ 1.29265339],[ 0.31738251],[ 1.67442069],2.1390112462910409
18,[ 1.23076152],[ 0.35889392],[ 1.6854179],2.1175958731724545
19,[ 1.17509075],[ 0.40364396],[ 1.70666964],2.1110395505662929
20,[ 1.13558593],[ 0.45973606],[ 1.73793161],2.126339320972312
21,[ 1.1085508],[ 0.53323105],[ 1.78000647],2.1637105268511014
22,[ 1.10964478],[ 0.58261649],[ 1.80225399],2.1951931455593661
23,[ 1.11495359],[ 0.63950035],[ 1.82532985],2.2324675322712451
24,[ 1.20335108],[ 0.67557717],[ 1.81195916],2.2776422751290681
25,[ 1.28413325],[ 0.70892479],[ 1.79805062],2.3204651631034889
26,[ 1.39282864],[ 0.73105898],[ 1.7653282],2.3644877894603602
27,[ 1.49207035],[ 0.75224164],[ 1.73081953],2.4058008407847096
28,[ 1.58029061],[ 0.77072492],[ 1.69469102],2.4419895501682474
29,[ 1.65663847],[ 0.78545809],[ 1.6571272],2.4713287905297916
30,[ 1.74185959],[ 0.79192314],[ 1.60099842],2.4948773563991837
31,[ 1.80632054],[ 0.79063166],[ 1.54263368],2.5035197203560462
32,[ 1.84962667],[ 0.78080207],[ 1.48244749],2.495680520106879
33,[ 1.87189942],[ 0.76209285],[ 1.42082535],2.4705338767346565
34,[ 1.86473897],[ 0.68716155],[ 1.28317474],2.3655823442628279
35,[ 1.78189343],[ 0.57916561],[ 1.1400855],2.1932560094658564
36,[ 1.63414571],[ 0.43546586],[ 0.9852618],1.957243859641713
37,[ 1.64911621],[ 0.66435957],[ 1.16884086],2.1277093054361154
38,[ 1.65513262],[ 0.9056676],[ 1.31798603],2.301474526168386
39,[ 1.65683632],[ 1.14390439],[ 1.42868565],2.4687580914610514
40,[ 1.65706894],[ 1.3626989],[ 1.50024599],2.6179312072605336
41,[ 1.56496111],[ 0.80003827],[ 1.23409453],2.1475925667209883
42,[ 1.34349282],[ 0.20201746],[ 0.76767582],1.560483956718377
43,[ 1.25546559],[ 0.13558531],[ 0.70898696],1.4481849820833008
44,[ 1.16253407],[ 0.0674343],[ 0.64975671],1.333497890315327
45,[ 1.06525259],[-0.00211927],[ 0.5900222],1.2177412594842136
